product,tweet,sentiment,Date
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-18
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-09-08
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-08-26
Kindle,This is a sample tweet about Kindle,negative,2016-08-07
Kindle,This is a sample tweet about Kindle,neutral,2016-07-21
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-09-27
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-28
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-08-03
Kindle,This is a sample tweet about Kindle,positive,2016-09-02
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-08-05
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-08-20
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-07-12
Kindle,This is a sample tweet about Kindle,positive,2016-08-05
Kindle,This is a sample tweet about Kindle,negative,2016-09-02
Kindle,This is a sample tweet about Kindle,positive,2016-09-02
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-09
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-07-30
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-09-11
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-09-02
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-09
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-09-22
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-09-11
Kindle,This is a sample tweet about Kindle,negative,2016-08-31
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-28
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-09-15
Kindle,This is a sample tweet about Kindle,neutral,2016-09-04
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-03
Kindle,This is a sample tweet about Kindle,positive,2016-07-28
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-08-06
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-23
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-07-21
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-07-22
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-08-19
Kindle,This is a sample tweet about Kindle,neutral,2016-08-27
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-08-24
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-09-07
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-24
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-07-24
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-08-21
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-09-01
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-07-07
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-07-20
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-09-17
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-08-02
Kindle,This is a sample tweet about Kindle,positive,2016-07-06
Kindle,This is a sample tweet about Kindle,neutral,2016-08-03
Kindle,This is a sample tweet about Kindle,positive,2016-09-14
Kindle,This is a sample tweet about Kindle,positive,2016-07-31
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-07-09
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-07-28
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-09-06
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-07-30
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-07-11
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-07-15
Fire TV Stick,This is a sample tweet about Fire TV Stick,negative,2016-09-16
Kindle,This is a sample tweet about Kindle,positive,2016-08-18
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-09-02
Kindle,This is a sample tweet about Kindle,neutral,2016-07-05
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-09-04
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-07-14
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-09-18
Kindle,This is a sample tweet about Kindle,neutral,2016-08-25
Echo Dot,This is a sample tweet about Echo Dot,negative,2016-08-05
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-07-02
Kindle,This is a sample tweet about Kindle,neutral,2016-08-19
Fire TV Stick,This is a sample tweet about Fire TV Stick,positive,2016-09-04
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-09-28
Fire Tablet,This is a sample tweet about Fire Tablet,positive,2016-08-04
Amazon Echo,This is a sample tweet about Amazon Echo,neutral,2016-09-27
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-07-25
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-09-21
Kindle,This is a sample tweet about Kindle,negative,2016-08-27
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-07-15
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-07-25
Kindle,This is a sample tweet about Kindle,negative,2016-08-16
Fire Tablet,This is a sample tweet about Fire Tablet,neutral,2016-08-04
Kindle,This is a sample tweet about Kindle,negative,2016-08-14
Amazon Echo,This is a sample tweet about Amazon Echo,negative,2016-08-17
Echo Dot,This is a sample tweet about Echo Dot,positive,2016-07-02
Kindle,This is a sample tweet about Kindle,negative,2016-09-13
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-08-24
Amazon Echo,This is a sample tweet about Amazon Echo,positive,2016-08-09
Echo Dot,This is a sample tweet about Echo Dot,neutral,2016-07-19
Kindle,This is a sample tweet about Kindle,positive,2016-07-09
Fire TV Stick,This is a sample tweet about Fire TV Stick,neutral,2016-07-03
Kindle,This is a sample tweet about Kindle,positive,2016-07-28
Fire Tablet,This is a sample tweet about Fire Tablet,negative,2016-07-06
