Product,tweet,sentiment,date
AmazonBasics Backpack,"Worth every penny, very satisfied.",negative,2016-07-12
AmazonBasics Batteries,"Terrible customer service, will not buy again.",positive,2016-08-16
AmazonBasics Backpack,Great product! Highly recommend it.,positive,2016-09-29
Kindle Paperwhite,Amazing quality for the price!,negative,2016-08-18
Fire TV Stick,The battery life could be better.,neutral,2016-07-25
AmazonBasics Batteries,"Worth every penny, very satisfied.",negative,2016-09-27
Amazon Echo,"Terrible customer service, will not buy again.",positive,2016-08-22
Fire TV Stick,"Arrived damaged, but got a quick replacement.",neutral,2016-07-08
AmazonBasics Batteries,"Not what I expected, but still okay.",neutral,2016-08-15
Amazon Echo,Great product! Highly recommend it.,negative,2016-07-28
Kindle Paperwhite,Great product! Highly recommend it.,neutral,2016-08-04
Kindle Paperwhite,Five stars! Exceeded my expectations.,positive,2016-09-26
Amazon Echo,Great product! Highly recommend it.,negative,2016-09-02
Fire TV Stick,The battery life could be better.,positive,2016-07-22
Amazon Echo,Five stars! Exceeded my expectations.,positive,2016-09-05
Fire TV Stick,"Worth every penny, very satisfied.",positive,2016-08-05
Kindle Paperwhite,The battery life could be better.,positive,2016-08-12
Amazon Echo,Great product! Highly recommend it.,neutral,2016-08-15
Amazon Echo,The battery life could be better.,negative,2016-09-06
AmazonBasics Backpack,Five stars! Exceeded my expectations.,positive,2016-08-26
Fire TV Stick,Five stars! Exceeded my expectations.,neutral,2016-09-04
Kindle Paperwhite,Great product! Highly recommend it.,neutral,2016-08-05
AmazonBasics Batteries,Fast shipping and works perfectly.,neutral,2016-07-08
Kindle Paperwhite,"Not what I expected, but still okay.",negative,2016-07-05
Kindle Paperwhite,"Worth every penny, very satisfied.",neutral,2016-07-05
Kindle Paperwhite,"Terrible customer service, will not buy again.",neutral,2016-09-20
AmazonBasics Batteries,Great product! Highly recommend it.,neutral,2016-08-29
AmazonBasics Batteries,Fast shipping and works perfectly.,negative,2016-07-02
AmazonBasics Batteries,"Arrived damaged, but got a quick replacement.",positive,2016-07-31
Amazon Echo,Amazing quality for the price!,negative,2016-08-08
Amazon Echo,The battery life could be better.,negative,2016-07-13
AmazonBasics Batteries,Five stars! Exceeded my expectations.,positive,2016-09-01
Kindle Paperwhite,"Worth every penny, very satisfied.",positive,2016-07-03
AmazonBasics Batteries,"Arrived damaged, but got a quick replacement.",negative,2016-07-30
Kindle Paperwhite,"Pretty decent, but there are better options.",negative,2016-09-04
Amazon Echo,Fast shipping and works perfectly.,positive,2016-08-03
AmazonBasics Backpack,Five stars! Exceeded my expectations.,negative,2016-08-23
AmazonBasics Backpack,"Not what I expected, but still okay.",neutral,2016-09-08
Fire TV Stick,Fast shipping and works perfectly.,neutral,2016-09-14
AmazonBasics Backpack,"Not what I expected, but still okay.",negative,2016-08-13
