product,content,date_time
iPhone,I regret buying the iPhone. Not worth the money.,2016-08-03 08:44:25
Google Pixel,My Google Pixel runs all my apps smoothly.,2016-07-19 09:20:32
Xiaomi,The Xiaomi is a great value for the price.,2016-07-05 00:19:53
Xiaomi,The Xiaomi is really sleek and fast.,2016-09-14 21:00:51
iPhone,The camera on the iPhone is disappointing.,2016-07-25 19:44:52
iPhone,Battery life on the iPhone is excellent.,2016-08-25 05:06:20
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-07-11 19:08:25
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-09-21 19:05:01
iPhone,Experiencing connectivity issues with the iPhone.,2016-08-14 04:28:43
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-09-06 23:27:17
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-07-05 08:57:53
iPhone,My iPhone is slower than expected.,2016-07-05 17:18:53
Xiaomi,Why is my Xiaomi overheating?,2016-07-15 00:18:55
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-09-25 19:18:44
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-08-10 02:05:58
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-02 06:16:15
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-09-24 02:24:21
Xiaomi,The camera on the Xiaomi is disappointing.,2016-07-03 03:55:44
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-09-15 10:57:28
Google Pixel,Battery life on the Google Pixel could be better.,2016-09-05 04:06:41
Samsung Galaxy,My Samsung Galaxy is slower than expected.,2016-08-06 08:51:32
OnePlus,The camera on the OnePlus is disappointing.,2016-09-20 06:39:43
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-09-13 20:11:08
OnePlus,The OnePlus is really sleek and fast.,2016-07-31 00:27:35
Xiaomi,Battery life on the Xiaomi is excellent.,2016-08-10 03:15:42
iPhone,Really happy with the performance of my new iPhone.,2016-09-16 10:17:34
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-08 17:49:31
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-13 17:08:26
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-07-09 21:57:38
iPhone,Not too impressed with the iPhone. Expected more.,2016-09-19 14:16:21
Samsung Galaxy,The camera quality on the Samsung Galaxy is amazing.,2016-09-20 12:20:56
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-09-10 10:26:09
iPhone,The iPhone keeps crashing. Frustrated!,2016-09-20 22:27:22
Samsung Galaxy,The display on the Samsung Galaxy is so vibrant and clear.,2016-07-16 21:31:07
Google Pixel,Having some issues with my Google Pixel. Anyone else?,2016-08-02 03:14:54
Xiaomi,The Xiaomi is a great value for the price.,2016-07-28 14:28:28
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-07-29 21:56:43
iPhone,My iPhone runs all my apps smoothly.,2016-08-01 12:14:28
Xiaomi,The camera on the Xiaomi is disappointing.,2016-08-08 03:16:24
iPhone,I'm impressed with the build quality of the iPhone.,2016-08-07 08:47:00
Samsung Galaxy,I regret buying the Samsung Galaxy. Not worth the money.,2016-08-15 07:15:47
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-09-26 08:56:44
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-07-01 22:53:18
iPhone,Why is my iPhone overheating?,2016-08-30 06:11:06
iPhone,Battery life on the iPhone is excellent.,2016-09-18 01:44:00
