product,content,sentiment,date_time
AmazonBasics Backpack,Sample tweet 😊 about Ring Video Doorbell,neutral,2016-08-14
Fire TV Stick,Sample tweet 😒 about Kindle Paperwhite,negative,2016-08-28
Fire TV Stick,Sample tweet 😠 about Ring Video Doorbell,neutral,2016-08-23
Ring Video Doorbell,Sample tweet 😔 about Ring Video Doorbell,negative,2016-08-08
Fire TV Stick,Sample tweet 😡 about Fire TV Stick,positive,2016-07-05
AmazonBasics Backpack,Sample tweet 😡 about AmazonBasics Backpack,positive,2016-09-05
Ring Video Doorbell,Sample tweet 😄 about Echo Dot,positive,2016-08-07
AmazonBasics Backpack,Sample tweet 😠 about Fire TV Stick,neutral,2016-08-16
Kindle Paperwhite,Sample tweet 😄 about Ring Video Doorbell,neutral,2016-07-18
Ring Video Doorbell,Sample tweet 😒 about Kindle Paperwhite,negative,2016-09-18
Ring Video Doorbell,Sample tweet 😔 about AmazonBasics Backpack,negative,2016-07-01
Fire TV Stick,Sample tweet 😄 about Fire TV Stick,positive,2016-07-18
Fire TV Stick,Sample tweet 😡 about Echo Dot,negative,2016-08-19
AmazonBasics Backpack,Sample tweet 😃 about Fire TV Stick,negative,2016-08-06
Fire TV Stick,Sample tweet 😕 about Fire TV Stick,neutral,2016-07-14
Ring Video Doorbell,Sample tweet 😐 about Ring Video Doorbell,negative,2016-07-04
Fire TV Stick,Sample tweet 😔 about Fire TV Stick,negative,2016-07-05
Ring Video Doorbell,Sample tweet 😡 about Kindle Paperwhite,positive,2016-08-02
Kindle Paperwhite,Sample tweet 😃 about Ring Video Doorbell,negative,2016-07-27
Fire TV Stick,Sample tweet 😃 about Kindle Paperwhite,neutral,2016-09-16
AmazonBasics Backpack,Sample tweet 😔 about Fire TV Stick,negative,2016-07-29
Ring Video Doorbell,Sample tweet 😃 about Fire TV Stick,negative,2016-08-02
Echo Dot,Sample tweet 😄 about Kindle Paperwhite,negative,2016-08-01
Echo Dot,Sample tweet 😡 about Echo Dot,negative,2016-09-05
AmazonBasics Backpack,Sample tweet 😊 about Echo Dot,negative,2016-08-16
Kindle Paperwhite,Sample tweet 😐 about Echo Dot,positive,2016-08-01
Fire TV Stick,Sample tweet 😊 about Ring Video Doorbell,neutral,2016-09-01
Echo Dot,Sample tweet 😔 about Ring Video Doorbell,negative,2016-08-16
Echo Dot,Sample tweet 😕 about Kindle Paperwhite,positive,2016-07-10
Ring Video Doorbell,Sample tweet 😡 about Echo Dot,neutral,2016-08-27
AmazonBasics Backpack,Sample tweet 😡 about Fire TV Stick,negative,2016-09-04
Ring Video Doorbell,Sample tweet 😃 about Ring Video Doorbell,positive,2016-07-03
Echo Dot,Sample tweet 😔 about Echo Dot,negative,2016-08-04
Ring Video Doorbell,Sample tweet 😒 about Fire TV Stick,positive,2016-08-05
Fire TV Stick,Sample tweet 😡 about AmazonBasics Backpack,positive,2016-07-15
Echo Dot,Sample tweet 😔 about Fire TV Stick,negative,2016-08-10
Ring Video Doorbell,Sample tweet 😠 about Kindle Paperwhite,negative,2016-09-20
Echo Dot,Sample tweet 😃 about Ring Video Doorbell,positive,2016-09-16
Echo Dot,Sample tweet 😃 about Ring Video Doorbell,neutral,2016-07-12
Ring Video Doorbell,Sample tweet 😔 about Echo Dot,positive,2016-09-20
Echo Dot,Sample tweet 😡 about Ring Video Doorbell,neutral,2016-09-19
Echo Dot,Sample tweet 😐 about Ring Video Doorbell,neutral,2016-08-25
Fire TV Stick,Sample tweet 😒 about Kindle Paperwhite,negative,2016-08-23
Echo Dot,Sample tweet 😄 about Fire TV Stick,positive,2016-09-09
AmazonBasics Backpack,Sample tweet 😔 about Ring Video Doorbell,negative,2016-09-23
Kindle Paperwhite,Sample tweet 😔 about AmazonBasics Backpack,neutral,2016-08-08
Ring Video Doorbell,Sample tweet 😠 about AmazonBasics Backpack,positive,2016-07-22
Ring Video Doorbell,Sample tweet 😕 about Echo Dot,negative,2016-08-01
Echo Dot,Sample tweet 😔 about Fire TV Stick,neutral,2016-07-23
Kindle Paperwhite,Sample tweet 😔 about Ring Video Doorbell,positive,2016-07-30
Kindle Paperwhite,Sample tweet 😒 about Ring Video Doorbell,negative,2016-07-19
Kindle Paperwhite,Sample tweet 😐 about Kindle Paperwhite,negative,2016-07-01
AmazonBasics Backpack,Sample tweet 😊 about Echo Dot,positive,2016-07-31
AmazonBasics Backpack,Sample tweet 😕 about Echo Dot,positive,2016-08-14
